,tweet_id,favourites_count,retweet_count
1990,672254177670729728,1430,751
1991,672248013293752320,1716,616
1992,672245253877968896,687,162
1993,672239279297454080,895,326
1994,672231046314901505,1835,1031
1995,672222792075620352,784,214
1996,672205392827572224,2264,1167
1997,672169685991993344,1018,372
1998,672160042234327040,874,360
1999,672139350159835138,1747,716
2000,672125275208069120,2405,1151
2001,672095186491711488,1006,372
2002,672082170312290304,941,372
2003,672068090318987265,1293,523
2004,671896809300709376,8486,4206
2005,671891728106971137,1333,581
2006,671882082306625538,3462,1391
2007,671879137494245376,1418,688
2008,671874878652489728,1247,565
2009,671866342182637568,1116,505
2010,671855973984772097,905,449
2011,671789708968640512,7062,3518
2012,671768281401958400,1190,529
2013,671763349865160704,1682,934
2014,671744970634719232,1354,783
2015,671743150407421952,745,235
2016,671735591348891648,1447,760
2017,671729906628341761,8501,4392
2018,671561002136281088,12810,7293
2019,671550332464455680,912,210
2020,671547767500775424,1352,602
2021,671544874165002241,1971,1058
2022,671542985629241344,1089,567
2023,671538301157904385,927,399
2024,671536543010570240,1168,413
2025,671533943490011136,1016,587
2026,671528761649688577,841,263
2027,671520732782923777,1402,530
2028,671518598289059840,952,292
2029,671511350426865664,1606,729
2030,671504605491109889,7005,3573
2031,671497587707535361,915,452
2032,671488513339211776,1011,474
2033,671486386088865792,577,207
2034,671485057807351808,758,234
2035,671390180817915904,1431,741
2036,671362598324076544,1104,297
2037,671357843010908160,398,149
2038,671355857343524864,481,115
2039,671347597085433856,955,431
2040,671186162933985280,737,214
2041,671182547775299584,1116,350
2042,671166507850801152,874,355
2043,671163268581498880,1667,1120
2044,671159727754231808,373,82
2045,671154572044468225,713,221
2046,671151324042559489,669,157
2047,671147085991960577,674,228
2048,671141549288370177,1159,665
2049,671138694582165504,920,406
2050,671134062904504320,749,198
2051,671122204919246848,3493,2546
2052,671115716440031232,1367,783
2053,671109016219725825,1144,444
2054,670995969505435648,1103,297
2055,670842764863651840,24579,8799
2056,670840546554966016,591,194
2057,670838202509447168,1108,702
2058,670833812859932673,442,126
2059,670832455012716544,733,220
2060,670826280409919488,5542,4087
2061,670823764196741120,774,195
2062,670822709593571328,613,97
2063,670815497391357952,3176,1548
2064,670811965569282048,1128,274
2065,670807719151067136,1155,498
2066,670804601705242624,1958,970
2067,670803562457407488,342,88
2068,670797304698376195,737,240
2069,670792680469889025,827,282
2070,670789397210615808,659,245
2071,670786190031921152,602,200
2072,670783437142401025,818,398
2073,670782429121134593,1558,776
2074,670780561024270336,786,290
2075,670778058496974848,328,74
2076,670764103623966721,1071,424
2077,670755717859713024,438,111
2078,670733412878163972,960,518
2079,670727704916926465,824,364
2080,670717338665226240,1204,500
2081,670704688707301377,771,374
2082,670691627984359425,591,247
2083,670679630144274432,748,284
2084,670676092097810432,248,43
2085,670668383499735048,10704,5083
2086,670474236058800128,1516,758
2087,670468609693655041,354,86
2088,670465786746662913,972,555
2089,670452855871037440,549,205
2090,670449342516494336,1192,668
2091,670444955656130560,6717,1999
2092,670442337873600512,643,201
2093,670435821946826752,1054,519
2094,670434127938719744,1398,653
2095,670433248821026816,329,114
2096,670428280563085312,1378,632
2097,670427002554466305,523,166
2098,670421925039075328,1306,636
2099,670420569653809152,629,318
2100,670417414769758208,569,318
2101,670411370698022913,2020,906
2102,670408998013820928,557,228
2103,670403879788544000,432,157
2104,670385711116361728,557,209
2105,670374371102445568,748,273
2106,670361874861563904,328,69
2107,670338931251150849,420,112
2108,670319130621435904,3860,1233
2109,670303360680108032,428,137
2110,670290420111441920,702,290
2111,670093938074779648,1023,335
2112,670086499208155136,699,254
2113,670079681849372674,2223,1246
2114,670073503555706880,1578,799
2115,670069087419133954,625,243
2116,670061506722140161,765,346
2117,670055038660800512,668,335
2118,670046952931721218,644,179
2119,670040295598354432,754,113
2120,670037189829525505,586,278
2121,670003130994700288,333,93
2122,669993076832759809,326,86
2123,669972011175813120,447,159
2124,669970042633789440,302,62
2125,669942763794931712,501,166
2126,669926384437997569,371,105
2127,669923323644657664,233,57
2128,669753178989142016,811,405
2129,669749430875258880,265,65
2130,669684865554620416,513,90
2131,669683899023405056,387,112
2132,669682095984410625,349,136
2133,669680153564442624,666,294
2134,669661792646373376,801,441
2135,669625907762618368,3523,1831
2136,669603084620980224,945,366
2137,669597912108789760,513,151
2138,669583744538451968,1492,934
2139,669573570759163904,433,141
2140,669571471778410496,1588,1026
2141,669567591774625800,235,55
2142,669564461267722241,383,124
2143,669393256313184256,368,77
2144,669375718304980992,1332,735
2145,669371483794317312,499,182
2146,669367896104181761,463,158
2147,669363888236994561,618,228
2148,669359674819481600,370,125
2149,669354382627049472,2699,1288
2150,669353438988365824,641,264
2151,669351434509529089,437,187
2152,669328503091937280,1020,422
2153,669327207240699904,576,116
2154,669324657376567296,498,210
2155,669216679721873412,1190,406
2156,669214165781868544,437,167
2157,669203728096960512,1002,483
2158,669037058363662336,655,316
2159,669015743032369152,737,376
2160,669006782128353280,576,251
2161,669000397445533696,20871,6415
2162,668994913074286592,440,232
2163,668992363537309700,745,350
2164,668989615043424256,678,332
2165,668988183816871936,897,476
2166,668986018524233728,552,171
2167,668981893510119424,536,307
2168,668979806671884288,797,354
2169,668975677807423489,1304,584
2170,668967877119254528,146,23
2171,668960084974809088,703,241
2172,668955713004314625,280,72
2173,668932921458302977,265,59
2174,668902994700836864,318,102
2175,668892474547511297,396,153
2176,668872652652679168,525,304
2177,668852170888998912,453,168
2178,668826086256599040,431,139
2179,668815180734689280,577,273
2180,668779399630725120,705,375
2181,668655139528511488,531,221
2182,668645506898350081,887,536
2183,668643542311546881,879,535
2184,668641109086707712,1078,544
2185,668636665813057536,1040,496
2186,668633411083464705,2804,1662
2187,668631377374486528,711,321
2188,668627278264475648,316,117
2189,668625577880875008,385,137
2190,668623201287675904,1424,777
2191,668620235289837568,200,43
2192,668614819948453888,613,316
2193,668587383441514497,1668,1084
2194,668567822092664832,242,55
2195,668544745690562560,514,226
2196,668542336805281792,454,219
2197,668537837512433665,250,77
2198,668528771708952576,459,230
2199,668507509523615744,322,107
2200,668496999348633600,411,133
2201,668484198282485761,423,238
2202,668480044826800133,456,149
2203,668466899341221888,876,523
2204,668297328638447616,616,298
2205,668291999406125056,242,31
2206,668286279830867968,503,137
2207,668274247790391296,818,232
2208,668268907921326080,552,237
2209,668256321989451776,1307,620
2210,668248472370458624,980,493
2211,668237644992782336,6183,2866
2212,668226093875376128,298,104
2213,668221241640230912,509,198
2214,668204964695683073,551,197
2215,668190681446379520,655,197
2216,668171859951755264,487,195
2217,668154635664932864,495,319
2218,668142349051129856,568,284
2219,668113020489474048,663,243
2220,667937095915278337,1256,789
2221,667924896115245057,299,113
2222,667915453470232577,208,55
2223,667911425562669056,492,307
2224,667902449697558528,846,375
2225,667886921285246976,1878,1094
2226,667885044254572545,808,486
2227,667878741721415682,389,119
2228,667873844930215936,623,406
2229,667866724293877760,2993,1031
2230,667861340749471744,238,78
2231,667832474953625600,290,62
2232,667806454573760512,1051,495
2233,667801013445750784,327,97
2234,667793409583771648,696,332
2235,667782464991965184,406,245
2236,667773195014021121,235,57
2237,667766675769573376,441,215
2238,667728196545200128,377,151
2239,667724302356258817,480,317
2240,667550904950915073,0,35
2241,667550882905632768,0,33
2242,667549055577362432,5754,2286
2243,667546741521195010,334,124
2244,667544320556335104,858,526
2245,667538891197542400,203,65
2246,667534815156183040,811,537
2247,667530908589760512,462,237
2248,667524857454854144,1679,1103
2249,667517642048163840,367,191
2250,667509364010450944,6728,2122
2251,667502640335572993,529,218
2252,667495797102141441,514,268
2253,667491009379606528,528,223
2254,667470559035432960,252,99
2255,667455448082227200,189,59
2256,667453023279554560,306,88
2257,667443425659232256,772,574
2258,667437278097252352,445,235
2259,667435689202614272,303,83
2260,667405339315146752,460,220
2261,667393430834667520,190,54
